aum,cagr_pct,sharpe,max_dd_pct,total_fees,avg_turnover
1000000,14.02,0.74,14.7,99141.63,0.0049
5000000,13.81,0.73,14.7,576935.36,0.0049
10000000,13.65,0.72,14.7,1273724.0,0.0049
100000000,12.51,0.64,14.76,21113378.74,0.0049
1000000000,9.19,0.42,14.92,429558214.45,0.0049
10000000000,0.69,-0.18,22.5,8314951414.44,0.0049
