metric,value
total_bars,38991
ending_capital,1221616.77
cagr,3.55%
max_dd,10.57%
sharpe,-0.01
volatility,0.0881
avg_turnover,0.0124
avg_exposure,0.347
total_trades,617
total_fees,4613.78
