date,slot,event,reason,holding_bars,pnl_since_entry,entry_z,exit_z,capital_frac
2020-04-08 16:45:00+00:00,0,entry,signal_entry,0,0.0,-1.9848671780180571,,0.5838
2020-04-09 15:00:00+00:00,0,exit,z_decay,20,0.034841400548546154,-1.9848671780180571,-0.22080891022090512,
2020-04-17 18:45:00+00:00,0,entry,signal_entry,0,0.0,2.597953552618517,,0.7641
2020-04-20 14:00:00+00:00,1,entry,signal_entry,0,0.0,2.5731047592886633,,0.2301
2020-05-18 17:15:00+00:00,1,exit,preempted,553,0.002874171440270151,2.5731047592886633,0.5704460586748319,
2020-05-18 17:15:00+00:00,1,entry,preempt_entry,0,0.0,-3.6552767608716477,,0.2301
2020-05-21 19:45:00+00:00,1,halt_rehedge,asset_halted,91,0.00014277808304826773,-3.6552767608716477,,
2020-05-28 14:00:00+00:00,1,exit,z_decay,176,0.021023459740034434,-3.6552767608716477,-0.1645115632645721,
2020-05-28 15:15:00+00:00,1,entry,signal_entry,0,0.0,2.1925867423814736,,0.2301
2020-06-02 15:45:00+00:00,0,exit,z_decay,825,-0.038603512087259095,2.597953552618517,0.18437065145654505,
2020-06-03 17:15:00+00:00,0,entry,signal_entry,0,0.0,2.2380452492084304,,0.6582
2020-06-11 13:30:00+00:00,1,exit,z_decay,263,0.0011815958643101405,2.1925867423814736,0.12027355072976074,
2020-06-11 18:45:00+00:00,0,exit,z_decay,168,0.021925608124316813,2.2380452492084304,0.25900753809281574,
2020-06-11 19:15:00+00:00,0,entry,signal_entry,0,0.0,-2.3202435969513955,,0.6824
2020-06-12 13:30:00+00:00,1,entry,signal_entry,0,0.0,-2.568506939643347,,0.312
2020-07-06 17:00:00+00:00,1,exit,z_decay,419,0.0029312464336006382,-2.568506939643347,-0.28107813796295306,
2020-07-06 17:15:00+00:00,0,exit,z_decay,424,0.020099727847838283,-2.3202435969513955,-0.25392277837698407,
2020-07-13 19:00:00+00:00,0,entry,signal_entry,0,0.0,1.705508366930523,,0.5016
2020-07-14 16:00:00+00:00,1,entry,signal_entry,0,0.0,2.774203460274779,,0.4958
2020-07-22 20:00:00+00:00,0,exit,z_decay,193,-0.0005764693234115498,1.705508366930523,0.23971434420751864,
2020-07-22 20:00:00+00:00,1,exit,z_decay,178,-0.0006467150741279271,2.774203460274779,0.2455834358936714,
2020-07-29 19:30:00+00:00,0,entry,signal_entry,0,0.0,2.3549284946395064,,0.6926
2020-08-10 16:00:00+00:00,1,entry,signal_entry,0,0.0,2.3374270647277173,,0.3062
2020-08-12 20:00:00+00:00,0,halt_rehedge,asset_halted,272,-0.03606025425800576,2.3549284946395064,,
2020-08-17 15:00:00+00:00,1,exit,z_decay,131,0.00374460155446236,2.3374270647277173,0.25060589398678346,
2020-08-21 18:45:00+00:00,0,exit,z_decay,456,-0.004199288182817461,2.3549284946395064,0.2804483020421828,
2020-09-04 13:45:00+00:00,0,entry,signal_entry,0,0.0,1.7894958775294927,,0.5263
2020-09-08 19:00:00+00:00,1,entry,signal_entry,0,0.0,-1.7084033537234038,,0.4293
